Name,HaulProb,R6Pts,R6xG,R6Inf
Palmer,0.32,6.92,0.65,34.48
João Pedro,0.30,9.17,0.90,36.60
Ekitiké,0.30,4.00,0.51,16.28
M.Salah,0.28,4.25,0.29,12.87
Bowen,0.28,4.75,0.09,27.12
B.Fernandes,0.27,8.25,0.15,39.77
Šeško,0.26,6.25,0.31,27.95
Semenyo,0.26,7.00,0.45,36.03
Haaland,0.26,4.92,0.28,25.73
Mbeumo,0.25,4.08,0.28,13.45
Gibbs-White,0.22,5.42,0.26,28.05
Szoboszlai,0.22,4.33,0.03,26.35
Enzo,0.22,2.58,0.16,17.82
Thiago,0.22,2.58,0.43,12.17
Rice,0.22,5.08,0.02,18.75
Watkins,0.22,1.75,0.08,0.97
Solanke,0.21,3.17,0.19,16.47
Cunha,0.21,3.50,0.10,13.25
Rogers,0.21,2.58,0.16,14.52
Gakpo,0.20,3.25,0.14,15.13
